step,lr-AdamW,valid_loss,epoch,train_loss
11425,,0.09716327488422394,28,
11425,,,28,0.07324736565351486
11426,0.0009123894858324591,,,
11819,,0.09611306339502335,29,
11819,,,29,0.07320566475391388
11820,0.0009268031239492195,,,
12213,,0.09651300311088562,30,
12213,,,30,0.07303700596094131
12214,0.0009401265737405673,,,
12607,,0.09537570178508759,31,
12607,,,31,0.07301076501607895
12608,0.0009522776812881085,,,
13001,,0.09896901994943619,32,
13001,,,32,0.07287728786468506
13002,0.0009631815214700844,,,
13395,,0.09702720493078232,33,
13395,,,33,0.07296604663133621
13396,0.0009727708599582604,,,
13789,,0.09587769955396652,34,
13789,,,34,0.07280711084604263
13790,0.0009809865677924984,,,
14183,,0.09605435281991959,35,
14183,,,35,0.07282644510269165
14184,0.0009877779859767029,,,
14577,,0.09478288143873215,36,
14577,,,36,0.0727805495262146
14578,0.0009931032378479954,,,
14971,,0.09469971060752869,37,
14971,,,37,0.07291759550571442
14972,0.0009969294872930186,,,
15365,,0.09563833475112915,38,
15365,,,38,0.07267085462808609
15366,0.0009992331412191735,,,
15759,,0.0981503427028656,39,
15759,,,39,0.07788506150245667
15760,0.0009999999994179253,,,
16153,,0.09584023058414459,40,
16153,,,40,0.07328852266073227
16154,0.000999909184748721,,,
16547,,0.09521369636058807,41,
16547,,,41,0.07285551726818085
16548,0.0009996376930424605,,,
16941,,0.09583940356969833,42,
16941,,,42,0.07241106778383255
16942,0.0009991856289643646,,,
17335,,0.09605135768651962,43,
17335,,,43,0.07241614162921906
17336,0.0009985531667937413,,,
17729,,0.09421873092651367,44,
17729,,,44,0.0724419578909874
17730,0.0009977405503567964,,,
18123,,0.09493812918663025,45,
18123,,,45,0.07251095771789551
18124,0.0009967480929326353,,,
18517,,0.0961187481880188,46,
18517,,,46,0.07244177162647247
18518,0.0009955761771324875,,,
18911,,0.09386584907770157,47,
18911,,,47,0.07239588350057602
18912,0.000994225254752202,,,
19305,,0.09624172002077103,48,
19305,,,48,0.08030250668525696
19306,0.000992695846598073,,,
19699,,0.0965476855635643,49,
19699,,,49,0.07278195768594742
19700,0.0009909885422860567,,,
20093,,0.0952460989356041,50,
20093,,,50,0.07233995199203491
20094,0.0009891040000144663,,,
20487,,0.09602314978837967,51,
20487,,,51,0.07218215614557266
20488,0.0009870429463102208,,,
20881,,0.09517959505319595,52,
20881,,,52,0.07212001085281372
20882,0.000984806175748757,,,
21275,,0.09542206674814224,53,
21275,,,53,0.07306648790836334
21276,0.000982394550647706,,,
21669,,0.09328899532556534,54,
21669,,,54,0.07183101773262024
21670,0.000979809000734451,,,
22063,,0.09411126375198364,55,
22063,,,55,0.07180128991603851
22064,0.0009770505227877017,,,
22457,,0.09606482833623886,56,
22457,,,56,0.07191097736358643
22458,0.0009741201802532173,,,
22851,,0.09483855962753296,57,
22851,,,57,0.07226338237524033
22852,0.0009710191028338255,,,
23245,,0.09470561146736145,58,
23245,,,58,0.07189272344112396
23246,0.000967748486053904,,,
23639,,0.09448949247598648,59,
23639,,,59,0.07318530976772308
23640,0.0009643095907984798,,,
24033,,0.09528522193431854,60,
24033,,,60,0.07200638949871063
24034,0.0009607037428271369,,,
24427,,0.09500937908887863,61,
24427,,,61,0.07185918837785721
24428,0.0009569323322629083,,,
